Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.2557      0.4713         2.9281      1.6049      
2     0.5495      0.6993         1.3682      0.9553      
3     0.6932      0.7400         0.9410      0.8116      
4     0.7685      0.8177         0.7246      0.5847      
5     0.8263      0.8560         0.5467      0.4889      
6     0.8519      0.8707         0.4590      0.4104      
7     0.8799      0.8887         0.3801      0.3713      
8     0.8996      0.8953         0.3219      0.3468      
9     0.9085      0.9163         0.2957      0.2867      
10    0.9296      0.9103         0.2238      0.3192      
11    0.9287      0.9240         0.2235      0.2651      
12    0.9282      0.9230         0.2266      0.2827      
13    0.9507      0.9083         0.1579      0.3449      
14    0.9495      0.9373         0.1618      0.2442      
15    0.9605      0.9437         0.1234      0.2385      
16    0.9568      0.9317         0.1363      0.2696      
17    0.9608      0.9367         0.1200      0.2480      
18    0.9634      0.9330         0.1164      0.2838      
19    0.9673      0.8990         0.1048      0.4245      
20    0.9855      0.9553         0.0499      0.1977      
21    0.9911      0.9580         0.0296      0.2119      
22    0.9932      0.9590         0.0224      0.2150      
23    0.9943      0.9560         0.0180      0.2292      
24    0.9937      0.9560         0.0210      0.2331      
25    0.9967      0.9623         0.0113      0.2190      
