Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.3129      0.3077         2.4885      2.3134      
2     0.5489      0.6320         1.5404      1.2396      
3     0.6627      0.7750         1.1689      0.8281      
4     0.7430      0.8253         0.9087      0.6640      
5     0.8025      0.8550         0.7320      0.5477      
6     0.8423      0.8883         0.6098      0.4593      
7     0.8681      0.9047         0.5232      0.4206      
8     0.8923      0.9123         0.4532      0.3970      
9     0.9067      0.9180         0.4138      0.3764      
10    0.9207      0.9330         0.3561      0.3153      
11    0.9339      0.9380         0.3223      0.3076      
12    0.9410      0.9390         0.3074      0.3115      
13    0.9481      0.9353         0.2736      0.3271      
14    0.9531      0.9413         0.2620      0.3084      
15    0.9629      0.9457         0.2278      0.2878      
16    0.9683      0.9533         0.2189      0.2789      
17    0.9705      0.9543         0.2086      0.2705      
18    0.9732      0.9590         0.1944      0.2613      
19    0.9771      0.9547         0.1889      0.2710      
20    0.9762      0.9580         0.1865      0.2592      
21    0.9777      0.9593         0.1850      0.2495      
22    0.9783      0.9610         0.1805      0.2451      
23    0.9819      0.9580         0.1711      0.2563      
24    0.9802      0.9607         0.1682      0.2370      
25    0.9815      0.9590         0.1667      0.2507      
26    0.9824      0.9570         0.1630      0.2645      
27    0.9828      0.9623         0.1616      0.2425      
28    0.9860      0.9630         0.1534      0.2471      
29    0.9875      0.9670         0.1466      0.2362      
30    0.9873      0.9657         0.1490      0.2294      
31    0.9889      0.9653         0.1418      0.2248      
32    0.9885      0.9703         0.1422      0.2072      
33    0.9898      0.9660         0.1402      0.2277      
34    0.9895      0.9647         0.1381      0.2293      
35    0.9907      0.9647         0.1380      0.2280      
36    0.9913      0.9687         0.1343      0.2155      
37    0.9917      0.9673         0.1316      0.2200      
38    0.9918      0.9690         0.1314      0.2190      
39    0.9927      0.9673         0.1282      0.2223      
40    0.9930      0.9697         0.1298      0.2207      
