Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.1524      0.2660         6.1120      2.3215      
2     0.3312      0.3937         2.1008      1.9044      
3     0.4339      0.4700         1.7659      1.6677      
4     0.5130      0.5123         1.5320      1.4910      
5     0.5673      0.5620         1.3516      1.3424      
6     0.6080      0.5980         1.2057      1.2404      
7     0.6505      0.6283         1.0885      1.1179      
8     0.6909      0.6617         0.9708      1.0315      
9     0.7168      0.6890         0.8827      0.9576      
10    0.7473      0.7070         0.7925      0.8809      
11    0.7754      0.7427         0.7116      0.8213      
12    0.7881      0.7500         0.6669      0.8051      
13    0.8145      0.7617         0.5978      0.7447      
14    0.8209      0.7760         0.5618      0.7239      
15    0.8397      0.7957         0.5120      0.6670      
16    0.8501      0.7923         0.4720      0.6423      
17    0.8657      0.8073         0.4309      0.6108      
18    0.8791      0.8097         0.4022      0.6096      
19    0.8829      0.8173         0.3791      0.5923      
20    0.8911      0.8243         0.3547      0.5732      
21    0.8987      0.8320         0.3312      0.5359      
22    0.9095      0.8357         0.2998      0.5337      
23    0.9171      0.8437         0.2817      0.5237      
24    0.9231      0.8533         0.2572      0.4979      
25    0.9292      0.8483         0.2422      0.5098      
26    0.9327      0.8593         0.2305      0.4828      
27    0.9389      0.8527         0.2084      0.5101      
28    0.9456      0.8593         0.1932      0.4952      
29    0.9502      0.8757         0.1784      0.4627      
30    0.9560      0.8723         0.1624      0.4417      
31    0.9568      0.8773         0.1525      0.4445      
32    0.9655      0.8863         0.1368      0.4199      
33    0.9624      0.8753         0.1383      0.4507      
34    0.9664      0.8840         0.1246      0.4209      
35    0.9701      0.8990         0.1142      0.4044      
36    0.9762      0.8823         0.0994      0.4321      
37    0.9759      0.8920         0.0995      0.4181      
38    0.9809      0.8947         0.0853      0.4043      
39    0.9805      0.8943         0.0812      0.4119      
40    0.9773      0.8957         0.0850      0.4130      
41    0.9857      0.8990         0.0690      0.3890      
42    0.9847      0.9010         0.0667      0.3771      
43    0.9875      0.9047         0.0576      0.3802      
44    0.9893      0.9020         0.0523      0.3803      
45    0.9909      0.9020         0.0467      0.3975      
46    0.9921      0.9040         0.0439      0.3820      
47    0.9957      0.9097         0.0319      0.3709      
48    0.9969      0.9067         0.0278      0.3664      
49    0.9972      0.9083         0.0271      0.3762      
50    0.9980      0.9093         0.0240      0.3690      
