Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.6854      0.3053         1.1811      2.1254      
2     0.9031      0.6933         0.4649      1.1142      
3     0.9557      0.8703         0.3070      0.5470      
4     0.9749      0.8203         0.2301      0.7434      
5     0.9771      0.8813         0.2129      0.5466      
6     0.9766      0.9360         0.1998      0.3390      
7     0.9842      0.9187         0.1731      0.3873      
8     0.9855      0.9377         0.1599      0.3392      
9     0.9841      0.8950         0.1536      0.5015      
10    0.9923      0.9597         0.1179      0.2335      
11    0.9835      0.9510         0.1367      0.2603      
12    0.9893      0.9597         0.1143      0.2252      
13    0.9959      0.9717         0.0858      0.1937      
14    0.9959      0.9467         0.0805      0.2460      
15    0.9915      0.9580         0.0859      0.2479      
16    0.9931      0.9677         0.0756      0.1762      
17    0.9968      0.9627         0.0591      0.1958      
18    0.9869      0.8687         0.0880      0.5984      
19    0.9901      0.9467         0.0745      0.2560      
20    0.9856      0.9433         0.0884      0.2554      
21    0.9944      0.9713         0.0607      0.1645      
22    0.9985      0.9770         0.0447      0.1396      
23    0.9997      0.9793         0.0384      0.1318      
24    0.9979      0.9657         0.0394      0.1738      
25    0.9995      0.9783         0.0336      0.1266      
26    0.9997      0.9803         0.0297      0.1332      
27    0.9989      0.9767         0.0310      0.1370      
28    0.9960      0.9660         0.0414      0.1762      
29    0.9977      0.9753         0.0303      0.1401      
30    0.9995      0.9777         0.0237      0.1194      
31    0.9999      0.9813         0.0215      0.1136      
32    0.9999      0.9807         0.0202      0.1118      
33    0.9999      0.9777         0.0192      0.1253      
34    0.9988      0.9793         0.0216      0.1361      
35    0.9995      0.9817         0.0185      0.1082      
36    0.9999      0.9820         0.0162      0.1113      
37    1.0000      0.9823         0.0151      0.1085      
38    1.0000      0.9830         0.0139      0.1044      
39    1.0000      0.9827         0.0128      0.1056      
40    1.0000      0.9820         0.0121      0.1080      
41    0.9998      0.9820         0.0115      0.1092      
42    0.9993      0.9680         0.0133      0.1558      
43    0.9998      0.9810         0.0109      0.1071      
44    1.0000      0.9827         0.0099      0.1039      
45    1.0000      0.9823         0.0094      0.1050      
46    1.0000      0.9820         0.0090      0.1086      
47    1.0000      0.9820         0.0085      0.1071      
48    0.9997      0.9807         0.0089      0.1189      
49    0.9999      0.9830         0.0081      0.1090      
50    1.0000      0.9827         0.0077      0.1059      
