Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.6090      0.2450         1.3199      2.5825      
2     0.8619      0.6503         0.5331      1.1099      
3     0.9229      0.8417         0.3421      0.5706      
4     0.9521      0.9193         0.2514      0.3572      
5     0.9702      0.9140         0.1854      0.3680      
6     0.9802      0.8917         0.1545      0.4377      
7     0.9809      0.9413         0.1447      0.2881      
8     0.9813      0.9290         0.1415      0.3483      
9     0.9837      0.9367         0.1284      0.3090      
10    0.9872      0.9483         0.1139      0.2782      
11    0.9816      0.9263         0.1260      0.3218      
12    0.9925      0.9160         0.0912      0.3650      
13    0.9871      0.9540         0.1021      0.2198      
14    0.9922      0.9520         0.0848      0.2305      
15    0.9913      0.9320         0.0817      0.3020      
16    0.9926      0.9493         0.0745      0.2399      
17    0.9929      0.9550         0.0724      0.2351      
18    0.9961      0.9630         0.0586      0.1893      
19    0.9992      0.9700         0.0484      0.1593      
20    0.9995      0.9690         0.0450      0.1408      
21    0.9999      0.9767         0.0410      0.1247      
22    0.9993      0.9760         0.0401      0.1349      
23    0.9990      0.9703         0.0384      0.1426      
24    0.9998      0.9740         0.0345      0.1297      
25    0.9996      0.9740         0.0324      0.1313      
26    0.9999      0.9760         0.0304      0.1153      
27    1.0000      0.9773         0.0286      0.1120      
28    0.9999      0.9770         0.0275      0.1129      
29    0.9999      0.9767         0.0264      0.1156      
30    1.0000      0.9777         0.0251      0.1103      
31    1.0000      0.9800         0.0238      0.1093      
32    1.0000      0.9800         0.0227      0.1127      
33    0.9991      0.9740         0.0244      0.1228      
34    0.9998      0.9707         0.0212      0.1314      
35    0.9999      0.9750         0.0201      0.1179      
36    1.0000      0.9757         0.0188      0.1072      
37    0.9999      0.9760         0.0182      0.1058      
38    0.9999      0.9727         0.0177      0.1214      
39    0.9997      0.9750         0.0178      0.1104      
40    1.0000      0.9800         0.0164      0.1050      
41    1.0000      0.9783         0.0157      0.1044      
42    0.9999      0.9773         0.0152      0.1065      
43    1.0000      0.9770         0.0146      0.1097      
44    0.9999      0.9790         0.0140      0.1060      
45    0.9998      0.9773         0.0142      0.1071      
46    0.9999      0.9773         0.0131      0.1060      
47    0.9999      0.9777         0.0128      0.1092      
48    0.9998      0.9727         0.0130      0.1202      
49    1.0000      0.9747         0.0122      0.1146      
