Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.5389      0.3150         1.8359      2.3651      
2     0.8174      0.6990         0.8678      1.1575      
3     0.9063      0.9043         0.5935      0.6019      
4     0.9415      0.9253         0.4742      0.5417      
5     0.9621      0.9147         0.3974      0.5611      
6     0.9746      0.9330         0.3513      0.5065      
7     0.9713      0.9513         0.3529      0.4246      
8     0.9824      0.9273         0.3124      0.5100      
9     0.9748      0.9523         0.3309      0.4173      
10    0.9863      0.9497         0.2829      0.4307      
11    0.9935      0.9620         0.2560      0.3636      
12    0.9893      0.9543         0.2585      0.3830      
13    0.9917      0.9570         0.2418      0.3725      
14    0.9929      0.9577         0.2282      0.3570      
15    0.9919      0.9570         0.2199      0.3413      
16    0.9931      0.9440         0.2082      0.3891      
17    0.9860      0.9543         0.2228      0.3646      
18    0.9643      0.9280         0.2856      0.5164      
19    0.9847      0.9260         0.2180      0.4690      
20    0.9933      0.9763         0.1811      0.2528      
21    0.9981      0.9717         0.1650      0.2529      
22    0.9986      0.9773         0.1595      0.2371      
23    0.9992      0.9777         0.1535      0.2287      
24    0.9997      0.9760         0.1472      0.2385      
25    0.9995      0.9770         0.1429      0.2183      
26    0.9991      0.9783         0.1382      0.2081      
27    0.9999      0.9773         0.1319      0.2071      
28    0.9988      0.9747         0.1294      0.2436      
29    0.9989      0.9720         0.1245      0.2259      
30    0.9995      0.9767         0.1176      0.2049      
31    0.9971      0.9750         0.1193      0.2132      
32    0.9997      0.9770         0.1080      0.1989      
33    0.9989      0.9743         0.1043      0.2061      
34    0.9990      0.9710         0.1003      0.2240      
35    0.9988      0.9767         0.0946      0.1937      
36    0.9990      0.9757         0.0912      0.1896      
37    0.9994      0.9727         0.0849      0.2009      
38    0.9983      0.9693         0.0820      0.2103      
39    0.9969      0.9593         0.0845      0.2689      
40    0.9951      0.9523         0.0889      0.2801      
41    0.9971      0.9753         0.0810      0.1705      
42    0.9984      0.9750         0.0733      0.1756      
43    0.9996      0.9763         0.0683      0.1567      
44    0.9998      0.9753         0.0656      0.1685      
45    0.9994      0.9757         0.0655      0.1669      
46    0.9993      0.9740         0.0639      0.1810      
47    0.9990      0.9757         0.0633      0.1593      
48    0.9997      0.9780         0.0602      0.1535      
49    0.9999      0.9780         0.0581      0.1513      
50    0.9997      0.9780         0.0575      0.1438      
