Epoch Acc       Val_Acc   Loss      Val_Loss  
1     0.9536    0.9963    0.1608    0.0105    
2     0.9993    0.9990    0.0027    0.0037    
3     1.0000    0.9990    0.0003    0.0034    
4     1.0000    0.9990    0.0000    0.0030    
5     1.0000    0.9990    0.0000    0.0029    
6     1.0000    0.9990    0.0000    0.0028    
7     1.0000    0.9990    0.0000    0.0027    
8     1.0000    0.9990    0.0000    0.0027    
9     1.0000    0.9990    0.0000    0.0026    
10    1.0000    0.9990    0.0000    0.0026    
11    1.0000    0.9990    0.0000    0.0025    
12    1.0000    0.9990    0.0000    0.0025    
13    1.0000    0.9990    0.0000    0.0025    
14    1.0000    0.9990    0.0000    0.0025    
15    1.0000    0.9990    0.0000    0.0024    
16    1.0000    0.9990    0.0000    0.0024    
17    1.0000    0.9990    0.0000    0.0024    
18    1.0000    0.9990    0.0000    0.0024    
19    1.0000    0.9990    0.0000    0.0024    
20    1.0000    0.9990    0.0000    0.0024    
