Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.4901      0.2553         1.8216      2.3324      
2     0.7697      0.7477         0.8880      1.0268      
3     0.8741      0.8733         0.5715      0.6084      
4     0.9243      0.8947         0.4104      0.4963      
5     0.9520      0.9003         0.3283      0.4801      
6     0.9711      0.9183         0.2657      0.4338      
7     0.9813      0.9093         0.2300      0.4404      
8     0.9867      0.9250         0.2112      0.3893      
9     0.9913      0.9243         0.1900      0.3989      
10    0.9935      0.9330         0.1789      0.3782      
11    0.9967      0.9360         0.1648      0.3876      
12    0.9948      0.9390         0.1620      0.3673      
13    0.9956      0.9300         0.1567      0.4152      
14    0.9941      0.9367         0.1568      0.3849      
15    0.9967      0.9370         0.1454      0.3670      
16    0.9963      0.9283         0.1408      0.4061      
17    0.9826      0.9187         0.1785      0.4236      
18    0.9912      0.9400         0.1450      0.3509      
19    0.9897      0.9380         0.1480      0.3612      
20    0.9909      0.9367         0.1397      0.3562      
21    0.9940      0.9437         0.1253      0.3334      
22    0.9963      0.9410         0.1149      0.3304      
23    0.9911      0.9353         0.1275      0.3616      
24    0.9950      0.9417         0.1110      0.3427      
25    0.9971      0.9370         0.1006      0.3334      
26    0.9964      0.9463         0.1009      0.3112      
27    0.9981      0.9513         0.0909      0.2975      
28    0.9936      0.9410         0.0995      0.3210      
29    0.9938      0.9360         0.0960      0.3650      
30    0.9913      0.9420         0.0998      0.3252      
31    0.9915      0.9213         0.0982      0.4173      
32    0.9967      0.9567         0.0797      0.2618      
33    0.9992      0.9563         0.0718      0.2503      
34    0.9979      0.9563         0.0738      0.2525      
35    0.9981      0.9543         0.0724      0.2697      
36    0.9993      0.9567         0.0662      0.2555      
37    0.9995      0.9593         0.0638      0.2442      
38    0.9996      0.9583         0.0614      0.2332      
39    0.9998      0.9610         0.0595      0.2294      
40    0.9998      0.9603         0.0579      0.2363      
41    0.9997      0.9607         0.0558      0.2324      
42    0.9999      0.9627         0.0534      0.2227      
43    0.9999      0.9613         0.0515      0.2286      
44    0.9997      0.9563         0.0500      0.2320      
45    0.9996      0.9577         0.0487      0.2395      
46    0.9999      0.9600         0.0460      0.2239      
47    0.9998      0.9573         0.0450      0.2273      
48    0.9998      0.9583         0.0440      0.2295      
49    0.9999      0.9587         0.0429      0.2268      
50    0.9995      0.9587         0.0436      0.2324      
