Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.4652	0.3060	1.7534	2.4408
2	0.7571	0.5003	0.8826	1.8465
3	0.8581	0.5950	0.5541	1.3215
4	0.9013	0.7320	0.3957	1.0174
5	0.9290	0.7487	0.2962	0.8434
6	0.9441	0.7563	0.2449	0.8290
7	0.9551	0.8250	0.2036	0.5688
8	0.9629	0.7523	0.1698	0.8657
9	0.9731	0.7853	0.1360	0.7566
10	0.9750	0.7877	0.1232	0.8003
11	0.9772	0.8410	0.1138	0.5664
12	0.9786	0.8147	0.1067	0.6807
13	0.9853	0.8710	0.0892	0.4378
14	0.9845	0.8087	0.0860	0.7312
15	0.9873	0.7903	0.0741	0.7442
16	0.9863	0.7907	0.0781	0.8287
17	0.9870	0.8313	0.0732	0.5895
18	0.9948	0.8990	0.0470	0.3248
19	0.9949	0.9257	0.0452	0.2468
20	0.9971	0.8550	0.0392	0.4786
21	0.9967	0.9157	0.0389	0.2852
22	0.9963	0.8773	0.0401	0.3779
23	0.9964	0.9097	0.0383	0.3098
24	0.9984	0.9003	0.0330	0.3761
