Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.4583      0.2860         1.9755      2.3202      
2     0.7468      0.6200         0.9623      1.2805      
3     0.8617      0.8487         0.6022      0.6519      
4     0.9152      0.8900         0.4253      0.5277      
5     0.9401      0.9210         0.3423      0.4097      
6     0.9619      0.9300         0.2770      0.3819      
7     0.9715      0.9180         0.2417      0.4440      
8     0.9809      0.9387         0.2073      0.3549      
9     0.9838      0.9477         0.1972      0.3180      
10    0.9890      0.9403         0.1708      0.3481      
11    0.9902      0.9350         0.1620      0.3740      
12    0.9825      0.9143         0.1776      0.4551      
13    0.9846      0.9410         0.1630      0.3732      
14    0.9923      0.9583         0.1375      0.2681      
15    0.9976      0.9650         0.1203      0.2515      
16    0.9979      0.9643         0.1149      0.2462      
17    0.9982      0.9603         0.1113      0.2552      
18    0.9974      0.9620         0.1096      0.2394      
19    0.9983      0.9583         0.1030      0.2642      
20    0.9989      0.9720         0.0987      0.2224      
21    0.9992      0.9667         0.0931      0.2334      
22    0.9992      0.9627         0.0894      0.2312      
23    0.9987      0.9623         0.0877      0.2389      
24    0.9945      0.9440         0.0951      0.3060      
25    0.9972      0.9660         0.0850      0.2291      
26    0.9988      0.9660         0.0790      0.2188      
27    0.9991      0.9663         0.0762      0.2145      
28    0.9989      0.9683         0.0736      0.2131      
29    0.9997      0.9697         0.0701      0.2117      
30    0.9995      0.9630         0.0688      0.2275      
31    0.9993      0.9653         0.0662      0.2111      
32    0.9999      0.9687         0.0632      0.1980      
33    0.9999      0.9703         0.0609      0.1994      
34    0.9993      0.9683         0.0596      0.2028      
35    0.9989      0.9680         0.0591      0.1990      
36    0.9993      0.9697         0.0562      0.1999      
37    0.9995      0.9710         0.0537      0.1986      
38    0.9991      0.9683         0.0534      0.1965      
39    0.9989      0.9717         0.0541      0.1931      
40    0.9994      0.9697         0.0508      0.2001      
41    0.9995      0.9693         0.0502      0.2005      
42    0.9997      0.9707         0.0483      0.1911      
43    0.9997      0.9680         0.0472      0.1999      
44    0.9999      0.9687         0.0457      0.1971      
45    0.9999      0.9687         0.0446      0.2023      
46    0.9998      0.9687         0.0435      0.1952      
47    0.9999      0.9723         0.0426      0.1878      
48    0.9999      0.9720         0.0420      0.1843      
49    0.9999      0.9720         0.0413      0.1833      
50    0.9998      0.9720         0.0410      0.1857      
