Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.3268      0.5530         2.2694      1.3938      
2     0.6635      0.7093         1.0111      0.9197      
3     0.7862      0.8360         0.6518      0.5247      
4     0.8615      0.8640         0.4343      0.4600      
5     0.8913      0.8757         0.3334      0.4153      
6     0.9121      0.8917         0.2673      0.3569      
7     0.9380      0.9127         0.1889      0.3057      
8     0.9492      0.9043         0.1579      0.3442      
9     0.9533      0.9217         0.1430      0.2797      
10    0.9588      0.9297         0.1243      0.2766      
11    0.9612      0.9177         0.1145      0.2969      
12    0.9767      0.9380         0.0704      0.2612      
13    0.9725      0.9247         0.0803      0.2879      
14    0.9752      0.9180         0.0726      0.3519      
15    0.9765      0.9217         0.0696      0.3366      
16    0.9768      0.9280         0.0692      0.3547      
17    0.9947      0.9520         0.0187      0.2352      
18    0.9987      0.9557         0.0055      0.2446      
19    0.9997      0.9573         0.0023      0.2365      
20    1.0000      0.9593         0.0014      0.2304      
21    0.9995      0.9567         0.0021      0.2489      
22    0.9999      0.9583         0.0015      0.2386      
23    0.9997      0.9593         0.0016      0.2469      
24    0.9965      0.9463         0.0107      0.3139      
25    0.9987      0.9587         0.0059      0.2517      
26    1.0000      0.9587         0.0009      0.2440      
27    1.0000      0.9597         0.0004      0.2462      
28    1.0000      0.9583         0.0004      0.2478      
