Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.5979	0.6100	1.3653	1.2564
2	0.8362	0.7313	0.6117	0.8547
3	0.9016	0.7247	0.3951	0.8615
4	0.9394	0.8107	0.2718	0.6334
5	0.9557	0.8293	0.2074	0.5394
6	0.9681	0.8623	0.1650	0.4773
7	0.9724	0.7193	0.1452	1.0384
8	0.9769	0.8373	0.1237	0.5325
9	0.9841	0.8950	0.1064	0.3582
10	0.9805	0.7153	0.1075	1.1278
11	0.9875	0.7927	0.0885	0.7695
12	0.9885	0.7907	0.0824	0.7811
13	0.9895	0.8760	0.0790	0.4755
14	0.9945	0.8523	0.0595	0.5446
