Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.5753      0.4600         1.4308      2.4335      
2     0.7910      0.5500         0.7336      1.7963      
3     0.8648      0.6743         0.5013      1.4126      
4     0.9045      0.8307         0.3751      0.6451      
5     0.9267      0.8337         0.3025      0.6257      
6     0.9437      0.6970         0.2358      1.2270      
7     0.9505      0.8537         0.2101      0.5846      
8     0.9683      0.8777         0.1573      0.4903      
9     0.9675      0.9003         0.1536      0.4479      
10    0.9714      0.9187         0.1327      0.3470      
11    0.9761      0.8660         0.1167      0.5575      
12    0.9745      0.7727         0.1197      1.1287      
13    0.9802      0.9227         0.0992      0.3323      
14    0.9731      0.9003         0.1179      0.4353      
15    0.9826      0.9293         0.0904      0.3581      
16    0.9883      0.9167         0.0737      0.3620      
17    0.9859      0.9183         0.0774      0.4135      
18    0.9971      0.9650         0.0442      0.1873      
19    0.9995      0.9643         0.0340      0.2009      
20    0.9999      0.9670         0.0313      0.1868      
21    1.0000      0.9700         0.0290      0.1825      
22    1.0000      0.9687         0.0275      0.1794      
23    1.0000      0.9713         0.0258      0.1774      
24    1.0000      0.9700         0.0244      0.1799      
25    1.0000      0.9693         0.0229      0.1784      
26    1.0000      0.9687         0.0214      0.1819      
27    1.0000      0.9677         0.0199      0.1803      
28    1.0000      0.9690         0.0189      0.1779      
29    1.0000      0.9703         0.0182      0.1758      
30    1.0000      0.9680         0.0175      0.1872      
31    1.0000      0.9710         0.0168      0.1750      
32    1.0000      0.9700         0.0161      0.1757      
33    1.0000      0.9693         0.0154      0.1752      
34    1.0000      0.9687         0.0146      0.1792      
35    1.0000      0.9710         0.0139      0.1742      
36    1.0000      0.9710         0.0132      0.1722      
37    1.0000      0.9700         0.0124      0.1743      
38    1.0000      0.9727         0.0118      0.1679      
39    1.0000      0.9673         0.0110      0.1776      
40    1.0000      0.9693         0.0104      0.1748      
41    1.0000      0.9700         0.0097      0.1710      
42    1.0000      0.9703         0.0090      0.1733      
43    1.0000      0.9717         0.0085      0.1704      
44    1.0000      0.9717         0.0081      0.1691      
45    1.0000      0.9713         0.0078      0.1689      
46    1.0000      0.9710         0.0075      0.1707      
