Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.3385      0.5737         2.5769      1.4457      
2     0.6567      0.7537         1.1873      0.9336      
3     0.7860      0.8360         0.8042      0.6584      
4     0.8587      0.7823         0.5888      0.8175      
5     0.8845      0.8690         0.5082      0.5275      
6     0.9095      0.8793         0.4217      0.5503      
7     0.9233      0.9043         0.3710      0.4550      
8     0.9434      0.8997         0.3103      0.4759      
9     0.9558      0.8720         0.2685      0.5584      
10    0.9555      0.9183         0.2643      0.3984      
11    0.9618      0.9197         0.2402      0.3952      
12    0.9647      0.9343         0.2220      0.3595      
13    0.9670      0.9340         0.2149      0.3518      
14    0.9693      0.8960         0.1975      0.4724      
15    0.9754      0.9327         0.1813      0.3493      
16    0.9778      0.9413         0.1693      0.3251      
17    0.9805      0.8543         0.1563      0.6677      
18    0.9726      0.9070         0.1782      0.4565      
19    0.9759      0.8990         0.1607      0.5310      
20    0.9849      0.9323         0.1347      0.3677      
21    0.9973      0.9583         0.0925      0.2769      
22    0.9997      0.9587         0.0826      0.2669      
23    0.9997      0.9607         0.0782      0.2642      
24    1.0000      0.9610         0.0742      0.2572      
25    1.0000      0.9627         0.0705      0.2580      
26    1.0000      0.9617         0.0674      0.2560      
27    1.0000      0.9623         0.0641      0.2542      
28    0.9989      0.9580         0.0633      0.2646      
29    0.9996      0.9623         0.0609      0.2652      
30    0.9993      0.9600         0.0585      0.2516      
31    0.9951      0.9457         0.0684      0.3116      
32    0.9866      0.9420         0.0907      0.2962      
33    0.9862      0.9577         0.0938      0.2318      
34    0.9969      0.9557         0.0603      0.2453      
35    0.9980      0.9570         0.0530      0.2591      
36    0.9929      0.9433         0.0672      0.3074      
37    0.9951      0.9553         0.0600      0.2413      
38    0.9993      0.9630         0.0456      0.2142      
39    0.9999      0.9617         0.0409      0.2134      
40    1.0000      0.9637         0.0393      0.2106      
41    1.0000      0.9640         0.0377      0.2095      
42    1.0000      0.9637         0.0362      0.2101      
43    1.0000      0.9633         0.0347      0.2096      
44    1.0000      0.9633         0.0332      0.2055      
45    1.0000      0.9637         0.0317      0.2030      
46    1.0000      0.9643         0.0302      0.1998      
47    1.0000      0.9640         0.0288      0.2008      
48    1.0000      0.9643         0.0273      0.1995      
49    1.0000      0.9637         0.0259      0.1953      
50    1.0000      0.9637         0.0245      0.1907      
