Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.3639      0.6037         2.3635      1.2515      
2     0.6685      0.7430         1.0104      0.7637      
3     0.7846      0.8000         0.6654      0.6038      
4     0.8547      0.8647         0.4460      0.4222      
5     0.8857      0.8587         0.3606      0.4467      
6     0.9071      0.8983         0.2832      0.3393      
7     0.9304      0.8843         0.2229      0.3892      
8     0.9413      0.8937         0.1852      0.3519      
9     0.9465      0.9143         0.1600      0.3043      
10    0.9527      0.9207         0.1437      0.2985      
11    0.9651      0.9080         0.1080      0.3493      
12    0.9721      0.9293         0.0844      0.2791      
13    0.9745      0.9350         0.0827      0.2848      
14    0.9595      0.9360         0.1259      0.2599      
15    0.9798      0.9373         0.0578      0.2791      
16    0.9807      0.9337         0.0581      0.3179      
17    0.9759      0.9100         0.0701      0.3848      
18    0.9782      0.9187         0.0727      0.3572      
19    0.9917      0.9600         0.0261      0.1945      
20    0.9989      0.9583         0.0058      0.2034      
21    0.9993      0.9600         0.0036      0.1979      
22    0.9997      0.9620         0.0027      0.2033      
23    0.9997      0.9603         0.0014      0.2005      
24    0.9997      0.9620         0.0016      0.1982      
25    0.9999      0.9617         0.0012      0.2042      
26    0.9999      0.9643         0.0009      0.2040      
27    1.0000      0.9647         0.0006      0.2050      
