Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.3678      0.6110         2.1941      1.1761      
2     0.6910      0.7733         0.9416      0.7318      
3     0.8089      0.8687         0.5820      0.4298      
4     0.8723      0.8820         0.3958      0.3858      
5     0.9030      0.9150         0.2966      0.2753      
6     0.9250      0.9267         0.2286      0.2518      
7     0.9471      0.9133         0.1698      0.2837      
8     0.9533      0.9370         0.1451      0.2141      
9     0.9657      0.8650         0.1078      0.5598      
10    0.9592      0.9387         0.1245      0.2296      
11    0.9725      0.9433         0.0850      0.2200      
12    0.9666      0.9393         0.1033      0.2598      
13    0.9884      0.9680         0.0349      0.1520      
14    0.9962      0.9673         0.0148      0.1552      
15    0.9980      0.9610         0.0083      0.1828      
16    0.9970      0.9673         0.0101      0.1693      
17    0.9987      0.9710         0.0059      0.1636      
18    0.9991      0.9697         0.0031      0.1666      
19    0.9996      0.9683         0.0026      0.1669      
20    0.9999      0.9703         0.0017      0.1640      
21    0.9986      0.9727         0.0050      0.1662      
