Epoch Acc           Val_Acc       Loss          Val_Loss      
1     0.94700003    0.99766666    0.25789243    0.00791178    
2     0.99926668    0.99900001    0.00312359    0.00243578    
3     0.99993336    0.99933332    0.00055676    0.00193966    
4     1.00000000    0.99900001    0.00016023    0.00207237    
5     1.00000000    0.99900001    0.00009868    0.00204362    
6     1.00000000    0.99900001    0.00006952    0.00201340    
7     1.00000000    0.99900001    0.00005384    0.00199498    
8     1.00000000    0.99900001    0.00004679    0.00197696    
