Epoch Acc           Val_Acc       Loss          Val_Loss      
1     0.94319999    0.99533331    0.19586658    0.01235887
2     0.99906665    0.99800003    0.00366834    0.00547197
3     0.99959999    0.99900001    0.00214034    0.00280598
4     1.00000000    0.99900001    0.00031860    0.00181481
5     1.00000000    0.99966669    0.00006303    0.00136011
6     1.00000000    0.99966669    0.00002310    0.00127306
7     1.00000000    0.99966669    0.00001647    0.00120460
8     1.00000000    0.99966669    0.00001251    0.00115264
9     1.00000000    0.99966669    0.00000986    0.00111080
10    1.00000000    0.99966669    0.00000799    0.00107777
11    1.00000000    0.99966669    0.00000661    0.00105005
12    1.00000000    0.99966669    0.00000555    0.00102503
13    1.00000000    0.99966669    0.00000472    0.00100557
14    1.00000000    0.99966669    0.00000414    0.00099316
15    1.00000000    0.99966669    0.00000384    0.00098321
16    1.00000000    0.99966669    0.00000356    0.00097437
17    1.00000000    0.99966669    0.00000330    0.00096544
18    1.00000000    0.99966669    0.00000307    0.00095729
19    1.00000000    0.99966669    0.00000285    0.00094913
20    1.00000000    0.99966669    0.00000267    0.00094464
