Epoch Acc       Val_Acc   Loss      Val_Loss  
1     0.9371    0.9983    0.2073    0.0062    
2     0.9988    0.9950    0.0044    0.0142    
3     0.9997    0.9953    0.0016    0.0149    
4     0.9994    0.9993    0.0018    0.0038    
5     1.0000    0.9997    0.0001    0.0019    
6     1.0000    0.9997    0.0000    0.0018    
7     1.0000    0.9997    0.0000    0.0018    
8     1.0000    0.9997    0.0000    0.0018    
9     1.0000    0.9997    0.0000    0.0018    
10    1.0000    0.9997    0.0000    0.0018    
11    1.0000    0.9997    0.0000    0.0017    
12    1.0000    0.9997    0.0000    0.0017    
13    1.0000    0.9997    0.0000    0.0017    
14    1.0000    0.9997    0.0000    0.0017    
15    1.0000    0.9997    0.0000    0.0017    
16    1.0000    0.9997    0.0000    0.0017    
17    1.0000    0.9997    0.0000    0.0017    
18    1.0000    0.9997    0.0000    0.0017    
19    1.0000    0.9997    0.0000    0.0017    
20    1.0000    0.9997    0.0000    0.0017    
