Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.6849      0.2527         1.6855      3.3772      
2     0.8995      0.7727         0.9314      1.2387      
3     0.9421      0.9243         0.7207      0.7576      
4     0.9605      0.7860         0.5922      1.1714      
5     0.9711      0.8843         0.4984      0.7918      
6     0.9737      0.9283         0.4392      0.5808      
7     0.9764      0.9157         0.3776      0.5778      
8     0.9810      0.9147         0.3221      0.5489      
9     0.9719      0.8707         0.3217      0.7941      
10    0.9785      0.9323         0.2760      0.4297      
11    0.9861      0.9043         0.2244      0.5727      
12    0.9887      0.9617         0.1955      0.3016      
13    0.9855      0.7780         0.1886      1.0059      
14    0.9835      0.8563         0.1865      0.9038      
15    0.9813      0.9387         0.1833      0.3972      
16    0.9869      0.9260         0.1561      0.4120      
17    0.9959      0.9723         0.1173      0.2020      
18    0.9984      0.9797         0.1007      0.1731      
19    0.9990      0.9810         0.0885      0.1599      
20    0.9995      0.9803         0.0781      0.1398      
21    0.9994      0.9810         0.0686      0.1309      
22    0.9970      0.9613         0.0724      0.2128      
23    0.9919      0.9697         0.0891      0.2018      
24    0.9979      0.9750         0.0675      0.1800      
25    0.9979      0.9787         0.0596      0.1494      
26    0.9991      0.9793         0.0524      0.1328      
27    0.9999      0.9823         0.0473      0.1194      
28    0.9989      0.9813         0.0475      0.1240      
29    0.9976      0.9773         0.0525      0.1313      
30    0.9996      0.9817         0.0416      0.1111      
31    0.9999      0.9807         0.0380      0.1137      
32    0.9999      0.9833         0.0353      0.1075      
33    0.9990      0.9783         0.0363      0.1262      
34    0.9970      0.9727         0.0435      0.1479      
35    0.9983      0.9803         0.0375      0.1232      
36    0.9993      0.9727         0.0341      0.1407      
37    0.9997      0.9817         0.0305      0.1146      
38    0.9999      0.9843         0.0288      0.1016      
39    1.0000      0.9867         0.0270      0.0947      
40    1.0000      0.9857         0.0256      0.0943      
41    1.0000      0.9840         0.0242      0.0936      
42    0.9999      0.9807         0.0232      0.1014      
43    0.9999      0.9823         0.0220      0.0930      
44    0.9998      0.9817         0.0223      0.1037      
45    0.9980      0.9780         0.0294      0.1106      
46    0.9999      0.9820         0.0215      0.0959      
47    0.9995      0.9810         0.0210      0.0995      
48    0.9990      0.9817         0.0220      0.1020      
49    0.9999      0.9823         0.0196      0.0987      
50    0.9996      0.9827         0.0202      0.0989      
