Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.1587      0.2810         4.4493      2.2434      
2     0.3542      0.4050         2.0187      1.8133      
3     0.4651      0.4830         1.6676      1.5929      
4     0.5478      0.5683         1.4246      1.3605      
5     0.6073      0.6263         1.2285      1.1864      
6     0.6591      0.6430         1.0682      1.1220      
7     0.6985      0.6807         0.9322      1.0077      
8     0.7345      0.7007         0.8291      0.9470      
9     0.7632      0.7290         0.7411      0.8467      
10    0.7917      0.7547         0.6607      0.7586      
11    0.8124      0.7797         0.5952      0.7215      
12    0.8265      0.7907         0.5511      0.6688      
13    0.8473      0.8020         0.4896      0.6289      
14    0.8615      0.8060         0.4532      0.6111      
15    0.8682      0.8157         0.4185      0.5960      
16    0.8820      0.8240         0.3793      0.5444      
17    0.8883      0.8380         0.3536      0.5186      
18    0.9003      0.8447         0.3201      0.5097      
19    0.9089      0.8463         0.3011      0.5101      
20    0.9149      0.8467         0.2696      0.4867      
21    0.9237      0.8580         0.2546      0.4608      
22    0.9293      0.8703         0.2304      0.4240      
23    0.9369      0.8703         0.2097      0.4262      
24    0.9440      0.8677         0.1951      0.4268      
25    0.9450      0.8823         0.1821      0.4032      
26    0.9521      0.8787         0.1639      0.3917      
27    0.9579      0.8913         0.1487      0.3647      
28    0.9593      0.8957         0.1376      0.3788      
29    0.9625      0.8960         0.1328      0.3558      
30    0.9677      0.8903         0.1154      0.3790      
31    0.9709      0.8907         0.1077      0.3846      
32    0.9715      0.8990         0.1015      0.3541      
33    0.9752      0.8930         0.0922      0.3716      
34    0.9798      0.9073         0.0822      0.3431      
35    0.9813      0.9073         0.0761      0.3338      
36    0.9845      0.9060         0.0694      0.3341      
37    0.9869      0.9047         0.0612      0.3527      
38    0.9851      0.9063         0.0642      0.3370      
39    0.9885      0.9093         0.0530      0.3429      
40    0.9940      0.9213         0.0378      0.3089      
41    0.9952      0.9203         0.0344      0.3092      
42    0.9966      0.9180         0.0313      0.3119      
43    0.9973      0.9207         0.0285      0.3085      
44    0.9969      0.9180         0.0276      0.3117      
45    0.9969      0.9237         0.0278      0.3049      
46    0.9972      0.9183         0.0252      0.3161      
47    0.9979      0.9220         0.0233      0.3086      
48    0.9981      0.9240         0.0223      0.3070      
49    0.9983      0.9233         0.0208      0.3088      
50    0.9990      0.9200         0.0175      0.3052      
