Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.6841      0.0750         1.1712      2.9201      
2     0.8909      0.0823         0.5052      3.8388      
3     0.9346      0.1180         0.3590      4.4213      
4     0.9550      0.4003         0.2842      2.2265      
5     0.9649      0.8040         0.2462      0.6761      
6     0.9716      0.8760         0.2135      0.4800      
7     0.9799      0.8540         0.1867      0.5182      
8     0.9833      0.8810         0.1691      0.4425      
9     0.9857      0.9010         0.1596      0.4016      
10    0.9876      0.8643         0.1468      0.4854      
