Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.6595      0.1110         1.2524      2.8947      
2     0.8743      0.0727         0.5820      3.6647      
3     0.9205      0.1027         0.4226      3.8497      
4     0.9412      0.4230         0.3416      1.8437      
5     0.9581      0.7923         0.2855      0.7563      
6     0.9701      0.8343         0.2407      0.6153      
7     0.9756      0.8757         0.2121      0.5019      
8     0.9807      0.8703         0.1936      0.5066      
9     0.9837      0.8613         0.1769      0.5074      
10    0.9873      0.9007         0.1584      0.4051      
11    0.9882      0.8107         0.1515      0.7313      
12    0.9886      0.9123         0.1496      0.3594      
13    0.9907      0.8827         0.1348      0.4528      
14    0.9915      0.8867         0.1294      0.4487      
15    0.9941      0.8697         0.1211      0.5022      
16    0.9940      0.8090         0.1164      0.7526      
17    0.9964      0.8763         0.1029      0.4564      
18    0.9983      0.8937         0.0961      0.4084      
19    0.9975      0.9103         0.0967      0.3495      
20    0.9981      0.8820         0.0959      0.4647      
21    0.9985      0.8897         0.0936      0.4110      
22    0.9986      0.9147         0.0916      0.3667      
23    0.9989      0.8827         0.0904      0.4455      
24    0.9991      0.9153         0.0862      0.3733      
25    0.9996      0.9380         0.0847      0.2640      
26    0.9992      0.9327         0.0848      0.3061      
27    0.9995      0.9353         0.0834      0.2811      
28    0.9996      0.9290         0.0830      0.2960      
29    0.9996      0.9290         0.0823      0.3078      
30    0.9998      0.9417         0.0812      0.2643      
31    0.9996      0.9283         0.0806      0.3142      
32    0.9999      0.9433         0.0799      0.2567      
33    0.9994      0.9457         0.0808      0.2478      
34    0.9997      0.9423         0.0797      0.2598      
35    0.9999      0.9367         0.0795      0.2754      
36    0.9997      0.9443         0.0792      0.2486      
37    0.9997      0.9453         0.0789      0.2617      
38    0.9998      0.9430         0.0782      0.2528      
39    0.9997      0.9400         0.0778      0.2723      
40    0.9999      0.9457         0.0779      0.2531      
41    0.9999      0.9477         0.0774      0.2371      
42    0.9998      0.9453         0.0773      0.2442      
43    0.9997      0.9430         0.0777      0.2679      
44    1.0000      0.9457         0.0768      0.2371      
45    0.9999      0.9450         0.0768      0.2373      
46    0.9999      0.9437         0.0766      0.2469      
47    0.9999      0.9453         0.0760      0.2493      
48    1.0000      0.9447         0.0762      0.2515      
49    1.0000      0.9460         0.0758      0.2476      
50    0.9997      0.9453         0.0759      0.2536      
51    1.0000      0.9437         0.0760      0.2549      
