Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.6957      0.0603         1.1472      2.9200      
2     0.8947      0.0983         0.5006      3.2355      
3     0.9359      0.2483         0.3474      2.8059      
4     0.9565      0.7197         0.2810      1.0082      
5     0.9663      0.9237         0.2386      0.3606      
6     0.9763      0.9577         0.2040      0.2483      
7     0.9799      0.9610         0.1844      0.2429      
8     0.9832      0.9650         0.1696      0.2121      
9     0.9861      0.9703         0.1559      0.1919      
10    0.9901      0.9547         0.1404      0.2350      
11    0.9905      0.9603         0.1345      0.2166      
12    0.9915      0.9723         0.1281      0.1789      
13    0.9926      0.9397         0.1238      0.2928      
14    0.9947      0.9827         0.1137      0.1493      
15    0.9960      0.9013         0.1083      0.3587      
16    0.9961      0.9653         0.1056      0.1922      
17    0.9961      0.9370         0.1040      0.2940      
18    0.9964      0.9707         0.1002      0.1766      
19    0.9989      0.9873         0.0899      0.1289      
20    0.9991      0.9887         0.0878      0.1205      
21    0.9992      0.9843         0.0857      0.1333      
22    0.9995      0.9890         0.0841      0.1141      
23    0.9999      0.9900         0.0821      0.1101      
24    0.9997      0.9880         0.0816      0.1212      
25    0.9995      0.9860         0.0825      0.1326      
26    0.9999      0.9923         0.0800      0.1002      
27    0.9998      0.9893         0.0796      0.1164      
28    0.9997      0.9837         0.0797      0.1303      
29    0.9999      0.9910         0.0788      0.1083      
30    0.9995      0.9713         0.0785      0.1556      
31    0.9996      0.9933         0.0764      0.0980      
32    0.9999      0.9930         0.0753      0.0965      
33    1.0000      0.9917         0.0746      0.1008      
34    0.9999      0.9923         0.0741      0.0980      
35    1.0000      0.9920         0.0734      0.0950      
36    0.9999      0.9923         0.0739      0.0944      
37    0.9999      0.9930         0.0729      0.0934      
38    0.9999      0.9937         0.0723      0.0910      
39    0.9999      0.9920         0.0723      0.0950      
40    1.0000      0.9930         0.0717      0.0943      
41    0.9997      0.9850         0.0720      0.1182      
42    0.9998      0.9910         0.0713      0.1019      
43    1.0000      0.9937         0.0703      0.0884      
44    1.0000      0.9937         0.0699      0.0877      
45    1.0000      0.9930         0.0695      0.0897      
46    1.0000      0.9917         0.0694      0.0936      
47    1.0000      0.9950         0.0691      0.0862      
48    0.9999      0.9917         0.0691      0.0922      
49    1.0000      0.9927         0.0684      0.0891      
50    1.0000      0.9920         0.0681      0.0888      
51    1.0000      0.9917         0.0679      0.0922      
52    1.0000      0.9930         0.0676      0.0875      
53    1.0000      0.9933         0.0675      0.0891      
54    0.9999      0.9937         0.0673      0.0902      
55    1.0000      0.9933         0.0670      0.0857      
56    1.0000      0.9933         0.0669      0.0855      
57    1.0000      0.9943         0.0666      0.0851      
58    0.9999      0.9933         0.0667      0.0856      
59    1.0000      0.9933         0.0663      0.0850      
60    1.0000      0.9930         0.0661      0.0835      
61    0.9999      0.9933         0.0659      0.0865      
62    1.0000      0.9940         0.0657      0.0823      
63    1.0000      0.9933         0.0655      0.0835      
64    1.0000      0.9927         0.0653      0.0847      
65    1.0000      0.9937         0.0650      0.0830      
66    1.0000      0.9947         0.0648      0.0803      
67    1.0000      0.9943         0.0648      0.0796      
68    1.0000      0.9937         0.0645      0.0831      
69    1.0000      0.9937         0.0641      0.0815      
70    1.0000      0.9937         0.0639      0.0827      
71    1.0000      0.9930         0.0637      0.0832      
72    1.0000      0.9940         0.0634      0.0809      
73    1.0000      0.9940         0.0633      0.0834      
74    1.0000      0.9927         0.0632      0.0848      
75    1.0000      0.9947         0.0631      0.0787      
