Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.5035      0.3033         1.7097      2.1226      
2     0.7890      0.7467         0.7701      0.8991      
3     0.8787      0.8650         0.4800      0.5181      
4     0.9262      0.8987         0.3436      0.4107      
5     0.9540      0.9353         0.2521      0.2947      
6     0.9697      0.9453         0.2004      0.2866      
7     0.9767      0.9507         0.1763      0.2673      
8     0.9810      0.9520         0.1561      0.2748      
9     0.9857      0.9613         0.1399      0.2361      
10    0.9783      0.9523         0.1572      0.2682      
11    0.9867      0.9580         0.1334      0.2539      
12    0.9926      0.9567         0.1084      0.2656      
13    0.9929      0.9643         0.1061      0.2144      
14    0.9837      0.9290         0.1290      0.3605      
15    0.9807      0.9507         0.1340      0.2342      
16    0.9895      0.9640         0.1072      0.2018      
17    0.9944      0.9670         0.0887      0.1952      
18    0.9921      0.9350         0.0929      0.3587      
19    0.9917      0.9630         0.0930      0.2253      
20    0.9950      0.9640         0.0812      0.1922      
21    0.9921      0.9610         0.0868      0.2104      
22    0.9896      0.9457         0.0934      0.2712      
23    0.9904      0.9357         0.0853      0.3327      
24    0.9915      0.9000         0.0853      0.4712      
25    0.9963      0.9777         0.0654      0.1427      
26    0.9986      0.9797         0.0599      0.1556      
27    0.9989      0.9793         0.0549      0.1472      
28    0.9994      0.9813         0.0522      0.1399      
29    0.9995      0.9797         0.0512      0.1363      
30    0.9989      0.9750         0.0515      0.1537      
31    0.9971      0.9733         0.0557      0.1566      
32    0.9991      0.9773         0.0483      0.1426      
33    0.9989      0.9747         0.0478      0.1524      
34    0.9994      0.9780         0.0454      0.1392      
35    0.9995      0.9817         0.0442      0.1271      
36    0.9996      0.9790         0.0432      0.1283      
37    0.9999      0.9807         0.0419      0.1276      
38    0.9991      0.9810         0.0450      0.1273      
39    0.9997      0.9800         0.0411      0.1348      
40    0.9993      0.9813         0.0416      0.1256      
41    0.9998      0.9817         0.0396      0.1205      
42    0.9997      0.9813         0.0394      0.1202      
43    0.9999      0.9820         0.0385      0.1202      
44    0.9999      0.9800         0.0381      0.1244      
45    0.9999      0.9813         0.0378      0.1229      
46    0.9999      0.9807         0.0372      0.1252      
47    0.9999      0.9813         0.0371      0.1229      
48    0.9999      0.9823         0.0366      0.1211      
49    0.9999      0.9817         0.0364      0.1202      
50    0.9999      0.9817         0.0361      0.1199      
