Epoch Acc           Val_Acc       Loss          Val_Loss      
1     0.94720000    0.99699998    0.26251516    0.00891333    
2     0.99959999    0.99866664    0.00233255    0.00351519    
3     0.99993336    0.99933332    0.00069812    0.00210677    
4     1.00000000    0.99933332    0.00023295    0.00173292    
5     1.00000000    0.99933332    0.00011168    0.00171744    
6     1.00000000    0.99933332    0.00007427    0.00164160    
7     1.00000000    0.99933332    0.00005460    0.00158343    
8     1.00000000    0.99933332    0.00004181    0.00153715    
9     1.00000000    0.99933332    0.00003296    0.00149833    
10    1.00000000    0.99933332    0.00002657    0.00146319    
11    1.00000000    0.99933332    0.00002182    0.00143499    
12    1.00000000    0.99933332    0.00001818    0.00140932    
13    1.00000000    0.99933332    0.00001534    0.00138606    
14    1.00000000    0.99966669    0.00001337    0.00136447    
15    1.00000000    0.99966669    0.00001235    0.00135079    
16    1.00000000    0.99966669    0.00001142    0.00134019    
17    1.00000000    0.99966669    0.00001056    0.00132992    
18    1.00000000    0.99966669    0.00000976    0.00132091    
19    1.00000000    0.99966669    0.00000911    0.00131428    
20    1.00000000    0.99966669    0.00000876    0.00130839    
