Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.6894      0.2900         1.1657      2.4530      
2     0.8998      0.7713         0.4860      0.8410      
3     0.9532      0.9243         0.3083      0.4008      
4     0.9611      0.8673         0.2668      0.5726      
5     0.9729      0.9120         0.2197      0.4236      
6     0.9819      0.9353         0.1821      0.3512      
7     0.9810      0.8203         0.1747      0.8616      
8     0.9790      0.9253         0.1689      0.3580      
9     0.9865      0.9523         0.1338      0.2771      
10    0.9832      0.8453         0.1342      0.8090      
11    0.9890      0.9580         0.1141      0.2306      
12    0.9835      0.9337         0.1238      0.3298      
13    0.9826      0.9250         0.1206      0.3556      
14    0.9859      0.8543         0.1049      0.7104      
15    0.9909      0.8140         0.0879      0.8575      
16    0.9965      0.9800         0.0605      0.1297      
17    0.9971      0.9777         0.0562      0.1318      
18    0.9994      0.9737         0.0453      0.1354      
19    0.9993      0.9693         0.0418      0.1585      
20    0.9955      0.9800         0.0545      0.1250      
21    0.9988      0.9707         0.0370      0.1425      
22    0.9993      0.9817         0.0331      0.1100      
23    0.9991      0.9767         0.0304      0.1402      
24    0.9996      0.9807         0.0267      0.1089      
25    0.9979      0.9647         0.0291      0.1803      
26    0.9992      0.9820         0.0238      0.0995      
27    0.9985      0.9630         0.0231      0.1683      
28    0.9981      0.9733         0.0238      0.1298      
29    0.9894      0.9027         0.0573      0.5189      
30    0.9919      0.9717         0.0435      0.1635      
31    0.9978      0.9833         0.0262      0.1002      
32    0.9997      0.9830         0.0199      0.0941      
33    0.9999      0.9840         0.0180      0.0897      
34    0.9981      0.9793         0.0248      0.1178      
35    0.9995      0.9807         0.0171      0.1003      
36    0.9985      0.9843         0.0203      0.0870      
37    0.9997      0.9853         0.0149      0.0822      
38    1.0000      0.9840         0.0133      0.0912      
39    1.0000      0.9847         0.0123      0.0813      
40    1.0000      0.9857         0.0113      0.0813      
41    1.0000      0.9863         0.0103      0.0781      
42    0.9999      0.9867         0.0095      0.0777      
43    0.9997      0.9833         0.0097      0.0812      
44    0.9994      0.9830         0.0098      0.0806      
45    0.9973      0.9777         0.0170      0.1122      
46    0.9959      0.9847         0.0219      0.0844      
47    0.9993      0.9853         0.0111      0.0756      
48    0.9998      0.9850         0.0102      0.0708      
49    0.9996      0.9843         0.0098      0.0738      
50    0.9995      0.9837         0.0092      0.0744      
