Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.7637	0.6820	0.8299	1.0176
2	0.9391	0.8553	0.2683	0.5327
3	0.9667	0.8567	0.1732	0.5408
4	0.9803	0.8697	0.1283	0.5543
5	0.9867	0.8960	0.1022	0.4272
6	0.9913	0.9027	0.0865	0.3738
7	0.9917	0.9373	0.0781	0.2417
8	0.9957	0.9030	0.0669	0.4401
9	0.9975	0.9363	0.0606	0.2542
10	0.9953	0.9483	0.0619	0.1990
11	0.9983	0.9410	0.0543	0.2194
12	0.9977	0.9507	0.0542	0.2007
13	0.9976	0.9647	0.0545	0.1556
14	0.9969	0.9370	0.0538	0.2527
15	0.9977	0.9253	0.0521	0.3435
16	0.9984	0.9447	0.0489	0.2307
17	0.9989	0.9133	0.0469	0.3933
18	0.9992	0.9790	0.0428	0.1133
19	0.9997	0.9830	0.0416	0.0989
20	0.9998	0.9783	0.0396	0.1073
21	0.9998	0.9857	0.0389	0.0871
22	0.9999	0.9830	0.0382	0.0956
23	0.9999	0.9757	0.0379	0.1105
24	0.9996	0.9690	0.0386	0.1267
25	0.9997	0.9860	0.0380	0.0817
26	0.9988	0.9750	0.0395	0.1229
27	0.9986	0.9620	0.0405	0.1663
28	0.9993	0.9780	0.0378	0.1091
29	0.9997	0.9740	0.0358	0.1272
30	0.9999	0.9810	0.0345	0.0996
