Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.1227      0.2007         3.9550      2.5113      
2     0.2717      0.3303         2.2647      2.0607      
3     0.3909      0.4180         1.8996      1.7789      
4     0.4811      0.5093         1.6184      1.5561      
5     0.5457      0.5657         1.4107      1.3976      
6     0.6039      0.6087         1.2328      1.2309      
7     0.6537      0.6497         1.0764      1.1137      
8     0.6967      0.6840         0.9476      1.0325      
9     0.7264      0.7097         0.8488      0.9481      
10    0.7535      0.7230         0.7640      0.8786      
11    0.7801      0.7447         0.6928      0.8295      
12    0.8027      0.7587         0.6224      0.7943      
13    0.8177      0.7597         0.5737      0.7625      
14    0.8362      0.7817         0.5220      0.7111      
15    0.8547      0.7990         0.4725      0.6612      
16    0.8655      0.8097         0.4303      0.6555      
17    0.8735      0.8107         0.4000      0.6360      
18    0.8935      0.8210         0.3607      0.6008      
19    0.9019      0.8337         0.3330      0.5772      
20    0.9044      0.8353         0.3118      0.5471      
21    0.9141      0.8437         0.2917      0.5441      
22    0.9176      0.8397         0.2742      0.5686      
23    0.9267      0.8507         0.2506      0.5140      
24    0.9327      0.8480         0.2278      0.5252      
25    0.9393      0.8573         0.2077      0.4879      
26    0.9447      0.8523         0.1963      0.5093      
27    0.9490      0.8567         0.1815      0.4966      
28    0.9555      0.8600         0.1617      0.4873      
29    0.9569      0.8683         0.1562      0.4670      
30    0.9626      0.8607         0.1381      0.4704      
31    0.9665      0.8740         0.1258      0.4524      
32    0.9703      0.8717         0.1156      0.4493      
33    0.9705      0.8733         0.1101      0.4741      
34    0.9718      0.8763         0.1031      0.4295      
35    0.9793      0.8767         0.0858      0.4565      
36    0.9828      0.8790         0.0759      0.4444      
37    0.9826      0.8720         0.0764      0.4829      
38    0.9838      0.8887         0.0725      0.4121      
39    0.9852      0.8847         0.0649      0.4391      
40    0.9879      0.8887         0.0576      0.4241      
41    0.9891      0.8883         0.0536      0.4297      
42    0.9903      0.8893         0.0483      0.4276      
43    0.9955      0.8960         0.0365      0.4017      
44    0.9965      0.8987         0.0304      0.4014      
45    0.9968      0.8967         0.0294      0.4056      
46    0.9971      0.8937         0.0284      0.4084      
47    0.9973      0.8973         0.0263      0.4087      
48    0.9980      0.8923         0.0242      0.4283      
49    0.9989      0.8983         0.0206      0.4005      
50    0.9987      0.9000         0.0197      0.4014      
