Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.5244	0.6003	1.5758	1.3706
2	0.7630	0.7507	0.8689	0.8434
3	0.8448	0.6843	0.6067	0.8978
4	0.8911	0.8457	0.4375	0.5182
5	0.9249	0.8317	0.3295	0.5638
6	0.9343	0.8113	0.2765	0.6966
7	0.9519	0.8763	0.2196	0.4272
8	0.9590	0.9020	0.1912	0.3441
9	0.9665	0.8370	0.1630	0.5409
10	0.9695	0.8600	0.1450	0.5292
11	0.9747	0.9020	0.1278	0.3894
12	0.9811	0.9317	0.1075	0.2619
13	0.9793	0.9073	0.1078	0.3284
14	0.9812	0.9440	0.0971	0.2131
15	0.9841	0.9167	0.0882	0.2794
16	0.9830	0.9360	0.0872	0.2268
17	0.9869	0.8630	0.0752	0.5763
18	0.9885	0.9397	0.0686	0.2204
19	0.9932	0.9610	0.0533	0.1555
20	0.9940	0.9310	0.0464	0.2714
21	0.9954	0.9433	0.0450	0.2455
22	0.9938	0.9523	0.0458	0.1909
23	0.9949	0.9417	0.0430	0.2230
24	0.9958	0.9643	0.0368	0.1369
25	0.9971	0.9653	0.0349	0.1326
26	0.9965	0.9540	0.0351	0.1860
27	0.9971	0.9310	0.0352	0.3159
28	0.9976	0.9583	0.0331	0.1609
29	0.9975	0.9257	0.0320	0.3040
30	0.9980	0.9553	0.0303	0.1807
