Epoch Acc       Val_Acc   Loss      Val_Loss  
1     0.9145    0.9867    0.5387    0.1109    
2     0.9903    0.9940    0.0836    0.0555    
3     0.9950    0.9950    0.0471    0.0367    
4     0.9967    0.9953    0.0321    0.0274    
5     0.9973    0.9960    0.0238    0.0219    
6     0.9979    0.9963    0.0187    0.0183    
7     0.9983    0.9967    0.0151    0.0158    
8     0.9987    0.9967    0.0125    0.0139    
9     0.9991    0.9973    0.0105    0.0125    
10    0.9995    0.9973    0.0090    0.0113    
11    0.9996    0.9977    0.0078    0.0104    
12    0.9997    0.9983    0.0068    0.0096    
13    0.9997    0.9983    0.0060    0.0090    
14    0.9997    0.9983    0.0054    0.0084    
15    0.9997    0.9983    0.0048    0.0080    
16    0.9998    0.9983    0.0043    0.0076    
17    0.9998    0.9983    0.0039    0.0072    
18    0.9999    0.9983    0.0035    0.0069    
19    0.9999    0.9983    0.0032    0.0066    
20    1.0000    0.9983    0.0029    0.0064    
