Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.1631      0.2783         3.7112      2.2883      
2     0.3267      0.3947         2.0753      1.9213      
3     0.4355      0.4650         1.7449      1.6609      
4     0.5260      0.5440         1.4710      1.4095      
5     0.5894      0.5857         1.2598      1.2736      
6     0.6457      0.6453         1.0891      1.1014      
7     0.6965      0.6690         0.9457      1.0279      
8     0.7312      0.7040         0.8429      0.9331      
9     0.7685      0.7287         0.7427      0.8721      
10    0.7881      0.7597         0.6697      0.7643      
11    0.8069      0.7783         0.6092      0.7378      
12    0.8268      0.7583         0.5548      0.7654      
13    0.8395      0.7780         0.5179      0.7014      
14    0.8491      0.8123         0.4806      0.6129      
15    0.8673      0.7910         0.4301      0.6748      
16    0.8816      0.8110         0.3913      0.5872      
17    0.8933      0.8233         0.3599      0.5656      
18    0.8974      0.8353         0.3371      0.5242      
19    0.9068      0.8210         0.3101      0.5759      
20    0.9153      0.8497         0.2869      0.4866      
21    0.9218      0.8510         0.2660      0.4828      
22    0.9285      0.8653         0.2473      0.4315      
23    0.9307      0.8647         0.2348      0.4640      
24    0.9400      0.8677         0.2118      0.4459      
25    0.9415      0.8593         0.1996      0.4685      
26    0.9462      0.8840         0.1874      0.4007      
27    0.9536      0.8757         0.1646      0.4284      
28    0.9503      0.8697         0.1753      0.4322      
29    0.9573      0.8953         0.1491      0.3737      
30    0.9650      0.8847         0.1313      0.4030      
31    0.9657      0.8940         0.1258      0.3810      
32    0.9711      0.9063         0.1152      0.3465      
33    0.9727      0.9023         0.1069      0.3607      
34    0.9693      0.9097         0.1118      0.3376      
35    0.9745      0.9063         0.0953      0.3450      
36    0.9780      0.8850         0.0872      0.3964      
37    0.9821      0.9053         0.0776      0.3461      
38    0.9839      0.9063         0.0702      0.3461      
39    0.9911      0.9107         0.0525      0.3237      
40    0.9928      0.9110         0.0482      0.3189      
41    0.9921      0.9163         0.0459      0.3142      
42    0.9939      0.9130         0.0431      0.3191      
43    0.9943      0.9077         0.0408      0.3351      
44    0.9955      0.9087         0.0381      0.3289      
45    0.9949      0.9153         0.0365      0.3153      
46    0.9968      0.9173         0.0319      0.3153      
