Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.5017      0.3090         1.7387      2.1437      
2     0.7896      0.7157         0.7904      0.9999      
3     0.8791      0.8620         0.5040      0.5516      
4     0.9316      0.9183         0.3501      0.3865      
5     0.9605      0.9317         0.2635      0.3543      
6     0.9710      0.9467         0.2211      0.3149      
7     0.9811      0.9497         0.1858      0.2970      
8     0.9843      0.9387         0.1720      0.3338      
9     0.9825      0.9593         0.1745      0.2629      
10    0.9885      0.9560         0.1529      0.2729      
11    0.9921      0.9513         0.1342      0.2800      
12    0.9915      0.9397         0.1336      0.3081      
13    0.9934      0.9383         0.1260      0.3111      
14    0.9932      0.9660         0.1224      0.2362      
15    0.9987      0.9663         0.1061      0.2287      
16    0.9988      0.9693         0.1030      0.2182      
17    0.9987      0.9673         0.1013      0.2210      
18    0.9993      0.9700         0.0975      0.2203      
19    0.9993      0.9690         0.0955      0.2169      
20    0.9996      0.9737         0.0925      0.2068      
21    0.9995      0.9700         0.0904      0.2031      
22    0.9998      0.9700         0.0875      0.2104      
23    0.9996      0.9677         0.0847      0.2104      
24    0.9997      0.9703         0.0829      0.1939      
25    0.9997      0.9693         0.0804      0.2065      
26    0.9992      0.9637         0.0792      0.2271      
27    0.9989      0.9590         0.0772      0.2469      
28    0.9985      0.9583         0.0761      0.2466      
29    0.9988      0.9703         0.0755      0.1983      
30    0.9991      0.9710         0.0712      0.2013      
31    0.9971      0.9703         0.0763      0.1989      
32    0.9987      0.9680         0.0711      0.1954      
