Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.4228      0.6087         1.9272      1.1582      
2     0.7279      0.7540         0.8225      0.7229      
3     0.8299      0.8063         0.5210      0.5793      
4     0.8736      0.8863         0.3937      0.3722      
5     0.9129      0.9010         0.2788      0.2972      
6     0.9383      0.9087         0.1940      0.3026      
7     0.9485      0.8847         0.1663      0.4164      
8     0.9586      0.9320         0.1330      0.2283      
9     0.9567      0.9153         0.1317      0.3030      
10    0.9715      0.9270         0.0845      0.2544      
11    0.9791      0.9373         0.0654      0.2281      
12    0.9714      0.9263         0.0799      0.2653      
13    0.9829      0.9397         0.0520      0.2320      
14    0.9871      0.9510         0.0384      0.2356      
15    0.9855      0.9173         0.0426      0.4258      
16    0.9940      0.9637         0.0218      0.1668      
17    0.9997      0.9667         0.0022      0.1641      
18    1.0000      0.9673         0.0009      0.1658      
19    1.0000      0.9673         0.0006      0.1680      
20    1.0000      0.9677         0.0005      0.1697      
21    1.0000      0.9673         0.0004      0.1718      
22    1.0000      0.9680         0.0003      0.1715      
