Epoch Accuracy    Val_Accuracy   Loss        Val_Loss    
1     0.7213      0.0667         1.0678      3.0520      
2     0.9175      0.0790         0.4484      3.9657      
3     0.9560      0.0930         0.3060      5.7901      
4     0.9701      0.2460         0.2511      3.6759      
5     0.9785      0.8337         0.2168      0.6447      
6     0.9833      0.9223         0.1902      0.3593      
7     0.9887      0.9347         0.1681      0.3104      
8     0.9915      0.9463         0.1558      0.2823      
9     0.9928      0.8903         0.1446      0.4082      
10    0.9953      0.9330         0.1361      0.3203      
11    0.9957      0.9610         0.1298      0.2257      
12    0.9973      0.9290         0.1204      0.3626      
13    0.9981      0.9783         0.1160      0.1789      
14    0.9985      0.9417         0.1126      0.2748      
15    0.9973      0.9633         0.1132      0.2291      
16    0.9981      0.9287         0.1110      0.3079      
17    0.9977      0.9543         0.1076      0.2402      
18    0.9989      0.9750         0.1009      0.1708      
19    0.9998      0.9790         0.0953      0.1555      
20    0.9997      0.9750         0.0946      0.1833      
21    0.9997      0.9643         0.0927      0.2039      
22    1.0000      0.9753         0.0911      0.1634      
23    0.9998      0.9773         0.0910      0.1745      
24    1.0000      0.9647         0.0890      0.1948      
25    0.9999      0.9763         0.0888      0.1577      
26    0.9999      0.9820         0.0882      0.1448      
27    1.0000      0.9857         0.0873      0.1355      
28    1.0000      0.9833         0.0870      0.1443      
29    1.0000      0.9820         0.0864      0.1416      
30    1.0000      0.9717         0.0861      0.1819      
31    1.0000      0.9863         0.0855      0.1326      
32    0.9999      0.9837         0.0849      0.1405      
33    1.0000      0.9820         0.0847      0.1461      
34    1.0000      0.9700         0.0839      0.1811      
35    1.0000      0.9840         0.0832      0.1346      
36    1.0000      0.9833         0.0828      0.1378      
37    1.0000      0.9863         0.0822      0.1278      
38    1.0000      0.9873         0.0820      0.1252      
39    1.0000      0.9873         0.0816      0.1268      
40    1.0000      0.9857         0.0814      0.1287      
41    1.0000      0.9843         0.0809      0.1341      
42    1.0000      0.9903         0.0806      0.1144      
43    1.0000      0.9877         0.0801      0.1218      
44    1.0000      0.9857         0.0796      0.1277      
45    1.0000      0.9873         0.0792      0.1218      
46    1.0000      0.9850         0.0789      0.1278      
47    1.0000      0.9850         0.0785      0.1259      
48    1.0000      0.9857         0.0781      0.1242      
49    1.0000      0.9867         0.0778      0.1203      
50    1.0000      0.9890         0.0776      0.1161      
51    1.0000      0.9887         0.0773      0.1158      
52    1.0000      0.9863         0.0772      0.1196      
