Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.3259	0.2857	2.3072	2.5554
2	0.5721	0.3350	1.4038	2.9481
3	0.6970	0.5580	1.0239	1.5781
4	0.7716	0.6483	0.8029	1.1197
5	0.8253	0.7750	0.6404	0.7750
6	0.8691	0.8713	0.5131	0.4751
7	0.8977	0.8257	0.4215	0.6569
8	0.9151	0.8797	0.3580	0.4575
9	0.9261	0.8120	0.3230	0.6681
10	0.9357	0.9107	0.2919	0.3499
11	0.9467	0.8973	0.2516	0.3838
12	0.9561	0.8080	0.2294	0.6326
13	0.9581	0.8410	0.2157	0.6066
14	0.9611	0.8977	0.2039	0.3800
15	0.9743	0.9527	0.1620	0.2183
16	0.9783	0.9590	0.1479	0.1999
17	0.9785	0.9107	0.1459	0.3240
18	0.9768	0.9530	0.1490	0.2031
19	0.9813	0.9490	0.1325	0.2288
20	0.9843	0.9290	0.1230	0.2766
21	0.9878	0.9450	0.1136	0.2279
