Epoch	Accuracy	Val_Accuracy	Loss	Val_Loss
1	0.6027	0.5933	1.3973	1.3890
2	0.8581	0.4897	0.6005	1.8409
3	0.9284	0.6337	0.3645	1.2741
4	0.9580	0.7360	0.2409	0.9702
5	0.9731	0.6577	0.1841	1.2706
6	0.9839	0.7373	0.1451	0.9621
7	0.9889	0.6833	0.1238	1.2104
8	0.9910	0.7267	0.1074	1.0664
9	0.9933	0.7750	0.0958	0.7728
10	0.9951	0.7360	0.0869	1.0329
11	0.9969	0.7923	0.0793	0.7870
12	0.9957	0.7793	0.0805	0.8473
13	0.9972	0.7470	0.0719	1.0423
14	0.9991	0.7993	0.0626	0.7727
15	0.9996	0.7557	0.0585	0.9802
16	0.9997	0.7800	0.0575	0.8805
17	0.9995	0.8050	0.0570	0.8249
18	0.9999	0.8040	0.0550	0.7722
19	0.9998	0.8257	0.0543	0.6942
20	0.9998	0.8160	0.0542	0.7429
21	0.9999	0.7940	0.0532	0.9101
22	0.9999	0.8243	0.0527	0.7227
23	1.0000	0.8247	0.0520	0.7254
24	1.0000	0.8170	0.0513	0.7716
